ANO,MS,DI,HR,1200535,1200579,1210762
2018,1,19,14,-990.0,2045.7,1729.8
2018,1,19,15,-990.0,1754.4,1507.2
2018,1,19,16,-990.0,1230.2,1109.2
2018,1,19,17,-990.0,645.9,584.8
2018,1,19,18,-990.0,94.4,63.5
2018,1,19,19,-990.0,.0,.0
2018,1,19,20,-990.0,.0,.0
2018,1,19,21,-990.0,.0,.0
2018,1,19,22,-990.0,.0,.0
2018,1,19,23,-990.0,.0,.0
2018,1,20,0,-990.0,.0,.0
2018,1,20,1,-990.0,.0,.0
2018,1,20,2,-990.0,.0,.0
2018,1,20,3,-990.0,.0,.0
2018,1,20,4,-990.0,.0,.0
2018,1,20,5,-990.0,.0,.0
2018,1,20,6,-990.0,.0,.0
2018,1,20,7,-990.0,.0,.0
2018,1,20,8,-990.0,3.1,2.0
2018,1,20,9,-990.0,297.8,179.5
2018,1,20,10,-990.0,937.7,777.1
2018,1,20,11,-990.0,1479.0,1191.7
2018,1,20,12,-990.0,1852.2,1521.8
2018,1,20,13,-990.0,2041.1,1662.3
2018,1,20,14,-990.0,2035.7,1715.0
2018,1,20,15,-990.0,1763.5,1525.7
2018,1,20,16,-990.0,1139.3,1085.5
2018,1,20,17,-990.0,472.0,424.4
2018,1,20,18,-990.0,98.3,76.0
2018,1,20,19,-990.0,.0,.0
2018,1,20,20,-990.0,.0,.0
2018,1,20,21,-990.0,.0,.5
2018,1,20,22,-990.0,.0,.4
2018,1,20,23,-990.0,.0,.0
2018,1,21,0,-990.0,.0,.0
2018,1,21,1,-990.0,.0,.0
2018,1,21,2,-990.0,.0,.0
2018,1,21,3,-990.0,.0,.0
2018,1,21,4,-990.0,.0,.0
2018,1,21,5,-990.0,.0,.0
2018,1,21,6,-990.0,.0,.0
2018,1,21,7,-990.0,.0,.0
2018,1,21,8,-990.0,1.9,.9
2018,1,21,9,-990.0,58.4,48.8
2018,1,21,10,-990.0,236.1,160.8
2018,1,21,11,-990.0,383.8,358.9
2018,1,21,12,-990.0,507.3,511.4
2018,1,21,13,-990.0,634.6,737.5
2018,1,21,14,-990.0,730.3,721.7
2018,1,21,15,-990.0,723.3,854.6
2018,1,21,16,-990.0,465.2,628.8
2018,1,21,17,-990.0,297.7,320.7
2018,1,21,18,-990.0,62.4,60.7
2018,1,21,19,-990.0,.0,.0
2018,1,21,20,-990.0,.0,.1
2018,1,21,21,-990.0,.0,.1
2018,1,21,22,-990.0,.0,.0
2018,1,21,23,-990.0,.0,.0
2018,1,22,0,-990.0,.0,.0
2018,1,22,1,-990.0,.0,.2
2018,1,22,2,-990.0,.0,.1
2018,1,22,3,-990.0,.0,.0
2018,1,22,4,-990.0,.0,.0
2018,1,22,5,-990.0,.0,.0
2018,1,22,6,-990.0,.0,.0
2018,1,22,7,-990.0,.0,.0
2018,1,22,8,-990.0,3.0,1.1
2018,1,22,9,-990.0,87.9,75.7
2018,1,22,10,-990.0,407.6,279.3
2018,1,22,11,-990.0,843.7,686.8
2018,1,22,12,-990.0,834.4,631.2
2018,1,22,13,-990.0,1327.9,1271.7
2018,1,22,14,-990.0,1844.2,1459.7
2018,1,22,15,-990.0,1824.8,1469.6
2018,1,22,16,-990.0,1276.5,1162.5
2018,1,22,17,-990.0,686.8,612.1
2018,1,22,18,-990.0,108.8,65.7
2018,1,22,19,-990.0,.0,.0
2018,1,22,20,-990.0,.0,.0
2018,1,22,21,-990.0,.0,.0
2018,1,22,22,-990.0,.0,.0
2018,1,22,23,-990.0,.0,.0
2018,1,23,0,-990.0,.0,.0
2018,1,23,1,-990.0,.0,.0
2018,1,23,2,-990.0,.0,.0
2018,1,23,3,-990.0,.0,.0
2018,1,23,4,-990.0,.0,.0
2018,1,23,5,-990.0,.0,.0
2018,1,23,6,-990.0,.0,.0
2018,1,23,7,-990.0,.0,.0
2018,1,23,8,-990.0,4.1,.9
2018,1,23,9,-990.0,253.2,190.9
2018,1,23,10,-990.0,892.8,597.0
2018,1,23,11,-990.0,1551.2,1178.3
2018,1,23,12,-990.0,1794.8,1346.7
2018,1,23,13,-990.0,2143.6,1569.1
2018,1,23,14,-990.0,1909.7,1723.9
2018,1,23,15,-990.0,1407.7,1570.0
2018,1,23,16,-990.0,1278.7,1162.7
2018,1,23,17,-990.0,669.5,584.1
2018,1,23,18,-990.0,93.9,63.9
2018,1,23,19,-990.0,.0,.0
2018,1,23,20,-990.0,.0,.0
2018,1,23,21,-990.0,.0,.0
2018,1,23,22,-990.0,.0,.0
2018,1,23,23,-990.0,.0,.0
2018,1,24,0,-990.0,.0,.0
2018,1,24,1,-990.0,.0,.0
